metric,p_exposure,p_final_disease_state,p_time,p_exposure:time,p_final_disease_state:time,Intercept,exposureH,diseaseH,timeT7,exposureH.timeT7,diseaseH.timeT7
chao1,0.516284678,0.243857919,***6.110826e-90,0.1623409355,0.0624467434,5.000637e+02, 3.831573e+01,-1.904662e+02, 7.444581e+02,-1.624145e+02, 2.202126e+02
diversity_coverage,0.437875023,0.278162087,***8.308377e-27,0.3032010920,0.0862065999,1.918604e+00, 1.878531e-02,-1.118056e-01, 2.104777e+00, 1.025303e+00, 1.737056e+00
diversity_fisher,0.845026498,0.348084568,***1.292530e-94,0.6438283771,0.3271226587,5.931996e+01, 2.565605e+00,-2.142880e+01, 1.377021e+02,-9.573904e+00, 2.063356e+01
diversity_gini_simpson,0.082993476,0.900505435,***4.597971e-40,*0.0231644779,0.1475314346,7.278372e-01,-1.070464e-01,-4.280976e-02, 1.331627e-01, 1.208759e-01, 7.840688e-02
diversity_inverse_simpson,0.706691558,*0.013777988,***1.755091e-25,0.7002613658,***0.0003844977,4.741377e+00,-7.281037e-02,-8.013297e-01, 3.937533e+00,-9.449781e-01, 8.861856e+00
diversity_shannon,0.712617162,0.838515848,***2.057562e-76,0.0519953056,0.1160462805,2.415213e+00,-3.154195e-01,-2.452445e-01, 1.173695e+00, 5.210560e-01, 4.285461e-01
dominance_absolute,*0.019015374,0.191946618,***1.753296e-23,**0.0029182924,0.4352791099,1.308472e+04, 9.713654e+03,-3.862108e+03,-8.672515e+03,-1.081868e+04, 2.884206e+03
dominance_core_abundance,**0.003666652,*0.016886995,***1.649658e-51,0.7751908606,0.0670918886,5.810285e-01, 9.938026e-02,-2.676256e-02,-2.877698e-01, 1.971598e-02,-1.285440e-01
dominance_dbp,0.087813548,0.360336445,***1.174482e-38,0.0723967905,0.0524260877,4.535164e-01, 1.068559e-01, 3.200328e-02,-1.432145e-01,-1.091553e-01,-1.198456e-01
dominance_dmn,0.634876720,0.697436661,***3.504035e-47,0.1487904383,*0.0404314249,6.221603e-01, 5.814495e-02, 4.945055e-02,-1.747429e-01,-8.540842e-02,-1.232765e-01
dominance_gini,0.396684703,0.583745550,***8.318665e-74,0.3779973155,0.7623910395,9.970155e-01,-2.234627e-05, 8.099718e-04,-9.883752e-03,-1.568796e-03,-5.471160e-04
dominance_relative,0.087813548,0.360336445,***1.174482e-38,0.0723967905,0.0524260877,4.535164e-01, 1.068559e-01, 3.200328e-02,-1.432145e-01,-1.091553e-01,-1.198456e-01
dominance_simpson,0.082993476,0.900505435,***4.597971e-40,*0.0231644779,0.1475314346,2.721628e-01, 1.070464e-01, 4.280976e-02,-1.331627e-01,-1.208759e-01,-7.840688e-02
evenness_bulla,0.343720866,0.893195448,***4.011036e-30,***0.0002484121,0.3433277775,1.779055e-01,-3.106609e-02, 1.283332e-02, 6.064843e-02, 8.446081e-02,-2.221438e-02
evenness_camargo,0.285401471,0.937649670,***1.754447e-28,***0.0005877190,0.0756899624,8.406828e-02,-2.255903e-02, 1.838609e-02, 6.049102e-02, 6.647095e-02,-3.493178e-02
evenness_evar,0.858559851,0.355514240,***3.777688e-88,*0.0464824302,0.2294580632,2.300050e-01,-3.172636e-02, 3.583590e-03, 1.879011e-01, 5.760107e-02,-3.535695e-02
evenness_pielou,0.618591345,0.723609056,***1.024603e-43,**0.0059115447,0.5002248911,4.193679e-01,-6.840444e-02,-6.792292e-03, 1.226551e-01, 1.148791e-01, 2.861200e-02
evenness_simpson,0.811808801,*0.011496416,4.669863e-01,0.0904394827,0.7093900378,1.588857e-02,-5.119853e-03, 6.598505e-03,-4.202187e-03, 8.757856e-03, 1.960227e-03
observed,0.312273476,0.401951406,***6.164478e-63,0.1274056821,*0.0444004644,3.513664e+02, 1.667668e+01,-1.246313e+02, 4.328075e+02,-1.260683e+02, 1.690541e+02
rarity_log_modulo_skewness,*0.044213277,**0.002093815,***7.053223e-10,*0.0379853822,**0.0014869610,2.061347e+00, 1.191349e-04,-1.851954e-04, 6.985302e-05,-1.200785e-04, 1.869838e-04
rarity_low_abundance,0.184783757,0.286307566,***1.566875e-95,0.1167867995,0.4228554090,8.286971e-02,-1.988105e-03,-1.755101e-02, 1.049571e-01, 2.847492e-02, 1.479788e-02
rarity_rare_abundance,**0.007765806,0.079797394,***6.257753e-52,0.1150101122,*0.0396407428,1.753991e-01,-2.947852e-02,-8.533764e-03, 2.543915e-01,-8.555516e-02, 1.135845e-01
