metric,p_exposure,p_final_disease_state,p_time,p_exposure:time,p_final_disease_state:time,Intercept,exposureH,diseaseH,timeT7,exposureH.timeT7,diseaseH.timeT7
chao1,0.17343738,0.625869059,***8.091249e-36,1.352576e-01,*0.0179607026,4.237856e+01, 5.764457e-02,-6.617434e+00, 9.262405e+00, 6.634023e+00, 1.068742e+01
diversity_coverage,0.43340567,0.374893063,***1.000663e-09,3.432219e-01,0.1419421960,1.716112e+00,-2.480773e-01,-8.556047e-02, 2.058149e-01, 2.704971e-01, 4.262418e-01
diversity_fisher,0.13417349,0.598303335,***2.536943e-50,**7.452690e-03,*0.0187486588,4.867330e+00,-2.734106e-01,-4.999234e-01, 1.305246e+00, 1.494755e+00, 1.335090e+00
diversity_gini_simpson,0.20194006,0.969692591,***1.561560e-17,**5.620967e-03,0.1607731878,6.942225e-01,-1.115073e-01,-3.827193e-02, 3.725727e-02, 1.518602e-01, 7.821952e-02
diversity_inverse_simpson,0.93534742,0.430871328,***9.529665e-13,*4.320734e-02,*0.0459479091,3.916318e+00,-7.001922e-01,-3.881040e-01, 1.486030e-01, 1.331692e+00, 1.336908e+00
diversity_shannon,0.92639151,0.916510985,***5.094828e-15,***5.889781e-04,0.1654095481,1.778300e+00,-2.810112e-01,-1.090838e-01, 2.077340e-02, 5.735184e-01, 2.354061e-01
dominance_absolute,*0.04126657,0.272350767,***1.561175e-19,**1.834041e-03,0.3685945989,1.356552e+04, 9.836426e+03,-3.865346e+03,-7.850577e+03,-1.183176e+04, 3.472152e+03
dominance_core_abundance,0.78370785,0.261324890,***1.073683e-09,8.027250e-02,0.3684174194,8.387611e-01, 3.224864e-02,-4.468823e-02, 1.036944e-01,-7.580561e-02, 3.964367e-02
dominance_dbp,0.12890215,0.580690934,***1.269073e-18,*3.305407e-02,0.1031181500,4.713721e-01, 1.101462e-01, 3.290836e-02,-5.716959e-02,-1.275470e-01,-9.919237e-02
dominance_dmn,0.91619271,0.983804148,***2.576061e-14,**9.257732e-03,0.1307471936,6.597261e-01, 6.799608e-02, 4.232085e-02,-2.107225e-02,-1.406225e-01,-8.304366e-02
dominance_gini,0.20690406,0.599778578,***6.681959e-13,***4.013602e-04,0.1445507578,9.731718e-01, 4.001998e-03, 1.660948e-03, 6.843088e-04,-1.335928e-02,-5.600199e-03
dominance_relative,0.12890215,0.580690934,***1.269073e-18,*3.305407e-02,0.1031181500,4.713721e-01, 1.101462e-01, 3.290836e-02,-5.716959e-02,-1.275470e-01,-9.919237e-02
dominance_simpson,0.20194006,0.969692591,***1.561560e-17,**5.620967e-03,0.1607731878,3.057775e-01, 1.115073e-01, 3.827193e-02,-3.725727e-02,-1.518602e-01,-7.821952e-02
evenness_bulla,0.89069307,0.892372421,5.406581e-01,***7.136734e-05,0.3230094990,2.356565e-01,-5.084934e-02, 1.511121e-02,-3.055987e-02, 1.045082e-01,-2.644702e-02
evenness_camargo,0.53158433,**0.007102845,***1.451849e-23,1.719879e-01,***0.0007192752,9.692995e-01,-1.929265e-02, 1.853577e-02,-1.046213e-01, 7.018808e-02,-1.767534e-01
evenness_evar,0.28187412,**0.001707800,*4.293534e-02,1.012142e-01,0.5627733909,1.419634e-01,-3.864980e-03, 2.539419e-02,-1.542951e-02, 2.201020e-02,-7.903799e-03
evenness_pielou,0.72001727,0.914860537,***3.426361e-07,***7.642994e-04,0.6402244279,4.827315e-01,-8.266900e-02,-8.141298e-03,-9.472514e-03, 1.483844e-01, 2.095758e-02
evenness_simpson,0.36908667,0.610547523,2.968328e-01,8.189297e-02,0.8501390326,9.928786e-02,-2.371817e-02, 6.361717e-03,-7.021067e-03, 3.112637e-02,-3.437714e-03
observed,0.32791236,0.937694538,***4.496053e-28,3.385062e-01,***0.0009907709,4.094746e+01, 3.592553e-01,-6.346236e+00, 4.972217e+00, 3.707127e+00, 1.296948e+01
rarity_log_modulo_skewness,0.30777167,0.947335967,***3.602169e-10,5.563723e-01,0.4241580023,2.053160e+00, 2.129255e-03,-1.167940e-03, 5.116266e-03,-1.553330e-03, 2.146334e-03
rarity_low_abundance,0.07709137,0.304390891,***5.388036e-09,4.405065e-01,**0.0042745952,1.462008e-02, 1.151848e-03,-2.183646e-03,-2.781275e-04, 1.794067e-03, 6.758392e-03
rarity_rare_abundance,0.82234146,0.052199941,5.143771e-02,2.099633e-01,**0.0018050325,2.619151e-02, 5.156209e-03,-3.734176e-03,-6.221721e-03,-1.314790e-02, 3.327527e-02
