metric,p_exposure,p_final_disease_state,p_time,p_exposure:time,p_final_disease_state:time,Intercept,exposureH,diseaseH,timeT7,exposureH.timeT7,diseaseH.timeT7
chao1,0.84526182,0.930966511,***2.368737e-42,0.553736335,*1.023163e-02,8.123434e+01,-1.980700e+00,-1.409082e+01, 2.893155e+01, 6.126005e+00, 2.701359e+01
diversity_coverage,0.21273227,**0.008781656,***1.113090e-13,0.604353184,***4.970356e-04,1.765261e+00,-1.592661e-01,-1.096255e-01, 2.526916e-01,-1.908091e-01, 1.304014e+00
diversity_fisher,0.61712140,0.621238620,***4.659584e-58,0.188808804,**6.845219e-03,9.800089e+00,-5.242853e-01,-1.524718e+00, 4.429055e+00, 1.827417e+00, 3.823954e+00
diversity_gini_simpson,0.18732365,0.673062613,***1.000777e-21,*0.013543933,6.298258e-02,6.999567e-01,-1.075464e-01,-4.160029e-02, 5.145531e-02, 1.395127e-01, 1.068409e-01
diversity_inverse_simpson,0.70160223,0.192331507,***8.636807e-15,0.306350296,**5.572026e-03,4.118557e+00,-2.839138e-01,-6.352063e-01, 4.402478e-01, 9.678847e-01, 2.667071e+00
diversity_shannon,0.73551076,0.397394350,***4.137526e-22,*0.017547694,*1.887278e-02,1.951042e+00,-2.762531e-01,-1.470682e-01, 1.398936e-01, 4.752883e-01, 4.778291e-01
dominance_absolute,*0.04805344,0.254367418,***4.189152e-20,**0.001827772,4.069797e-01,1.355217e+04, 9.744918e+03,-3.821969e+03,-7.895616e+03,-1.186966e+04, 3.211474e+03
dominance_core_abundance,0.18816726,**0.005599183,***7.193327e-05,0.930332000,1.927563e-01,7.567419e-01, 4.432541e-02,-4.983890e-02,-3.092208e-02,-5.179755e-03,-7.847210e-02
dominance_dbp,0.37405995,0.516905192,***5.924617e-22,*0.015910118,7.720510e-02,4.705695e-01, 1.030987e-01, 3.567247e-02,-6.295319e-02,-1.498061e-01,-1.116668e-01
dominance_dmn,0.99846748,0.379258194,***1.744599e-20,0.071431510,*1.124469e-02,6.541415e-01, 5.228013e-02, 4.835914e-02,-4.214297e-02,-1.036301e-01,-1.481981e-01
dominance_gini,0.50897624,0.183425623,***6.135328e-19,0.069317082,*1.010360e-02,9.837722e-01, 1.687946e-03, 1.630705e-03,-1.894144e-03,-5.914117e-03,-8.516049e-03
dominance_relative,0.37405995,0.516905192,***5.924617e-22,*0.015910118,7.720510e-02,4.705695e-01, 1.030987e-01, 3.567247e-02,-6.295319e-02,-1.498061e-01,-1.116668e-01
dominance_simpson,0.18732365,0.673062613,***1.000777e-21,*0.013543933,6.298258e-02,3.000433e-01, 1.075464e-01, 4.160029e-02,-5.145531e-02,-1.395127e-01,-1.068409e-01
evenness_bulla,0.97344114,0.343125691,**1.913001e-03,**0.001876779,9.482196e-01,2.076005e-01,-3.894230e-02, 1.318965e-02,-1.090172e-02, 7.641211e-02,-1.623148e-03
evenness_camargo,0.48481995,**0.005478063,***1.681799e-23,0.277901778,**4.047863e-03,9.875253e-01,-9.957416e-03, 2.904180e-03,-1.108146e-01, 5.471814e-02,-1.474171e-01
evenness_evar,0.74818348,*0.034004916,**2.165078e-03,*0.014282726,3.910962e-01,1.667534e-01,-1.572438e-02, 2.220362e-02, 5.050247e-03, 3.587075e-02,-1.276962e-02
evenness_pielou,0.58406912,0.350019009,***6.830852e-12,**0.007920315,1.552861e-01,4.553756e-01,-7.084729e-02,-1.077867e-02, 7.075740e-03, 1.164752e-01, 6.339168e-02
evenness_simpson,0.98677336,0.282386730,2.466124e-01,0.141060009,6.713523e-01,5.737622e-02,-8.900411e-03, 4.027912e-03,-7.154571e-03, 1.786381e-02, 5.237073e-03
observed,0.96725087,0.918845426,***1.295341e-33,0.903049324,***6.258424e-04,7.538770e+01, 3.295661e-01,-1.489365e+01, 1.862483e+01,-1.073805e+00, 3.065718e+01
rarity_log_modulo_skewness,0.62673120,0.713140428,***6.639504e-11,0.547280928,9.249349e-01,2.059420e+00,-3.959549e-04, 1.703804e-04, 1.430470e-03, 4.361207e-04,-6.943559e-05
rarity_low_abundance,0.38771098,0.268955453,***9.967698e-19,0.654655178,**1.264747e-03,2.831965e-02, 8.789606e-04,-4.624851e-03, 3.567698e-03, 1.904038e-03, 1.395612e-02
rarity_rare_abundance,0.10455507,**0.003282898,***4.803215e-13,*0.010674483,***3.302382e-05,4.262188e-02, 3.706192e-03,-3.002785e-03, 1.880593e-02,-3.915560e-02, 6.473286e-02
