Tank,Treatment,Genotype_Code,Genotype,T3,T7
H1,H,A_red,U91,H,D
H1,H,A_yellow,U93,H,D
H1,H,A_green,M6,H,H
H1,H,A_purple,M5,H,H
H1,H,A_navy,M7,H,H
H1,H,A_neon,M3,H,H
H1,H,A_orange,U8,H,D
H1,H,A_pink,U4,H,H
H1,H,A_aqua,K2,H,H
H1,H,A_gray,U5,H,D
H1,H,B_red,U67,H,H
H1,H,B_yellow,B10,H,H
H1,H,B_green,U3,H,H
H1,H,B_purple,U46,H,H
H1,H,B_navy,KW15,H,H
H1,H,B_neon,U42,H,H
H1,H,B_orange,U44,H,H
H1,H,B_pink,M10,H,H
H1,H,B_aqua,U20,H,H
H1,H,B_gray,U69,H,H
H1,H,C_red,U62,H,H
H1,H,C_yellow,U14,H,H
H1,H,C_green,U31,H,H
H1,H,C_purple,U32,H,H
H1,H,C_navy,U11,H,H
H1,H,C_neon,U35,H,H
H1,H,C_orange,U37,H,H
H1,H,C_pink,U9,H,H
H1,H,C_aqua,U72,H,H
H1,H,C_gray,U75,H,H
H1,H,D_red,M1,H,H
H1,H,D_yellow,U55,H,H
H1,H,D_green,K1,H,H
H1,H,D_purple,U19,H,D
H1,H,D_navy,M2,H,D
H1,H,D_neon,B8,H,H
H1,H,D_orange,U39,H,H
H1,H,D_pink,U98,H,H
H1,H,D_aqua,U15,H,H
H1,H,D_gray,U17,H,H
H1,H,E_red,U47,H,H
H1,H,E_yellow,U71,H,H
H1,H,E_green,U58,H,H
H1,H,E_purple,U65,H,H
H1,H,E_navy,U59,H,H
H1,H,E_neon,U33,H,H
H1,H,E_orange,U100,H,H
H1,H,E_pink,U63,H,H
H1,H,E_aqua,U41,H,H
H1,H,E_gray,U43,H,D
H2,H,A_red,U91,H,D
H2,H,A_yellow,U93,D,D
H2,H,A_green,M6,H,D
H2,H,A_purple,M5,H,D
H2,H,A_navy,M7,D,D
H2,H,A_neon,M3,H,D
H2,H,A_orange,U8,H,D
H2,H,A_pink,U4,H,D
H2,H,A_aqua,K2,H,D
H2,H,A_gray,U5,D,D
H2,H,B_red,U67,H,D
H2,H,B_yellow,B10,D,D
H2,H,B_green,U3,H,D
H2,H,B_purple,U46,D,D
H2,H,B_navy,KW15,H,D
H2,H,B_neon,U42,D,D
H2,H,B_orange,U44,H,D
H2,H,B_pink,M10,H,D
H2,H,B_aqua,U20,H,D
H2,H,B_gray,U69,H,D
H2,H,C_red,U62,H,D
H2,H,C_yellow,U14,H,D
H2,H,C_green,U31,H,D
H2,H,C_purple,U32,H,D
H2,H,C_navy,U11,H,D
H2,H,C_neon,U35,H,D
H2,H,C_orange,U37,H,D
H2,H,C_pink,U9,H,D
H2,H,C_aqua,U72,H,D
H2,H,C_gray,U75,H,D
H2,H,D_red,M1,D,D
H2,H,D_yellow,U55,H,D
H2,H,D_green,K1,H,D
H2,H,D_purple,U19,H,D
H2,H,D_navy,M2,D,D
H2,H,D_neon,B8,D,D
H2,H,D_orange,U39,D,D
H2,H,D_pink,U98,D,D
H2,H,D_aqua,U15,H,D
H2,H,D_gray,U17,H,D
H2,H,E_red,U47,D,D
H2,H,E_yellow,U71,H,D
H2,H,E_green,U58,D,D
H2,H,E_purple,U65,D,D
H2,H,E_navy,U59,D,D
H2,H,E_neon,U33,D,D
H2,H,E_orange,U100,H,D
H2,H,E_pink,U63,H,D
H2,H,E_aqua,U41,H,D
H2,H,E_gray,U43,D,D
H3,H,A_red,U91,D,D
H3,H,A_yellow,U93,H,D
H3,H,A_green,M6,H,D
H3,H,A_purple,M5,H,D
H3,H,A_navy,M7,H,D
H3,H,A_neon,M3,H,D
H3,H,A_orange,U8,H,D
H3,H,A_pink,U4,H,D
H3,H,A_aqua,K2,H,D
H3,H,A_gray,U5,H,D
H3,H,B_red,U67,D,D
H3,H,B_yellow,B10,H,D
H3,H,B_green,U3,H,D
H3,H,B_purple,U46,D,D
H3,H,B_navy,KW15,H,D
H3,H,B_neon,U42,H,D
H3,H,B_orange,U44,H,D
H3,H,B_pink,M10,H,D
H3,H,B_aqua,U20,H,D
H3,H,B_gray,U69,H,D
H3,H,C_red,U62,H,D
H3,H,C_yellow,U14,H,D
H3,H,C_green,U31,H,D
H3,H,C_purple,U32,H,D
H3,H,C_navy,U11,H,D
H3,H,C_neon,U35,H,D
H3,H,C_orange,U37,H,D
H3,H,C_pink,U9,H,D
H3,H,C_aqua,U72,H,D
H3,H,C_gray,U75,H,D
H3,H,D_red,M1,H,D
H3,H,D_yellow,U55,H,D
H3,H,D_green,K1,H,D
H3,H,D_purple,U19,H,D
H3,H,D_navy,M2,H,D
H3,H,D_neon,B8,H,D
H3,H,D_orange,U39,H,D
H3,H,D_pink,U98,H,D
H3,H,D_aqua,U15,H,D
H3,H,D_gray,U17,H,D
H3,H,E_red,U47,H,D
H3,H,E_yellow,U71,H,D
H3,H,E_green,U58,H,D
H3,H,E_purple,U65,H,D
H3,H,E_navy,U59,H,D
H3,H,E_neon,U33,H,D
H3,H,E_orange,U100,H,D
H3,H,E_pink,U63,H,D
H3,H,E_aqua,U41,H,D
H3,H,E_gray,U43,H,D
H4,H,A_red,U91,H,H
H4,H,A_yellow,U93,H,H
H4,H,A_green,M6,H,H
H4,H,A_purple,M5,H,H
H4,H,A_navy,M7,H,H
H4,H,A_neon,M3,H,D
H4,H,A_orange,U8,H,D
H4,H,A_pink,U4,H,H
H4,H,A_aqua,K2,H,D
H4,H,A_gray,U5,H,H
H4,H,B_red,U67,H,H
H4,H,B_yellow,B10,H,D
H4,H,B_green,U3,H,H
H4,H,B_purple,U46,H,D
H4,H,B_navy,KW15,H,H
H4,H,B_neon,U42,D,D
H4,H,B_orange,U44,H,D
H4,H,B_pink,M10,H,H
H4,H,B_aqua,U20,H,D
H4,H,B_gray,U69,H,D
H4,H,C_red,U62,H,H
H4,H,C_yellow,U14,H,H
H4,H,C_green,U31,H,H
H4,H,C_purple,U32,H,H
H4,H,C_navy,U11,H,H
H4,H,C_neon,U35,H,D
H4,H,C_orange,U37,H,H
H4,H,C_pink,U9,H,H
H4,H,C_aqua,U72,H,H
H4,H,C_gray,U75,H,H
H4,H,D_red,M1,D,D
H4,H,D_yellow,U55,H,H
H4,H,D_green,K1,H,H
H4,H,D_purple,U19,H,H
H4,H,D_navy,M2,H,H
H4,H,D_neon,B8,H,H
H4,H,D_orange,U39,H,H
H4,H,D_pink,U98,H,H
H4,H,D_aqua,U15,H,H
H4,H,D_gray,U17,H,H
H4,H,E_red,U47,H,H
H4,H,E_yellow,U71,H,H
H4,H,E_green,U58,H,D
H4,H,E_purple,U65,H,H
H4,H,E_navy,U59,H,H
H4,H,E_neon,U33,H,H
H4,H,E_orange,U100,H,D
H4,H,E_pink,U63,H,H
H4,H,E_aqua,U41,H,H
H4,H,E_gray,U43,H,H
H5,H,A_red,U91,H,H
H5,H,A_yellow,U93,H,D
H5,H,A_green,M6,H,D
H5,H,A_purple,M5,H,H
H5,H,A_navy,M7,H,D
H5,H,A_neon,M3,H,H
H5,H,A_orange,U8,H,D
H5,H,A_pink,U4,H,H
H5,H,A_aqua,K2,H,D
H5,H,A_gray,U5,H,H
H5,H,B_red,U67,H,H
H5,H,B_yellow,B10,H,D
H5,H,B_green,U3,H,D
H5,H,B_purple,U46,H,H
H5,H,B_navy,KW15,H,H
H5,H,B_neon,U42,H,H
H5,H,B_orange,U44,H,H
