location,reef,lat,lon,specimen_boxID,specimen_boxInternalID,specimen_notes,genotype,clone_group,diseaseResistance_H,diseaseResistance_D,diseaseResistance_categorical,fds_H1,fds_H3,fds_H4,fds_H5,fds_D1,fds_D2,fds_D3,fds_D4,fds_D5,wgs_reads,wgs_pctMissing,mRNA_T3_D1,mRNA_T7_D1,mRNA_T3_D2,mRNA_T7_D2,mRNA_T3_D4,mRNA_T7_D4,mRNA_T3_H1,mRNA_T7_H1,mRNA_T3_H4,mRNA_T7_H4,mRNA_T3_H5,mRNA_T7_H5,miRNA_T3_D1,miRNA_T7_D1,miRNA_T3_D2,miRNA_T7_D2,miRNA_T3_D4,miRNA_T7_D4,miRNA_T3_H1,miRNA_T7_H1,miRNA_T3_H4,miRNA_T7_H4,miRNA_T3_H5,miRNA_T7_H5,16s_T0_D,16s_T0_H,16s_T0,16s_T3_D1,16s_T3_D2,16s_T3_D4,16s_T3_H1,16s_T3_H3,16s_T3_H4,16s_T3_H5,16s_T7_D1,16s_T7_D2,16s_T7_D3,16s_T7_D4,16s_T7_D5,16s_T7_H1,16s_T7_H3,16s_T7_H4,16s_T7_H5,rad_ID,rad_sampleName,thermal_tolerance,vanWoesik_corals,vanWoesik_pctSurvival,vanWoesik_minWeeks,vanWoesik_maxWeeks,crf_corals,crf_pctSurvival,crf_minWeeks,crf_maxWeeks,cunning_ID,vanWoesik_ID,vollmer_ID
Florida,Upper Keys-Broward County,25.9891,-80.1091667,3,15,NA,B10,clone_43,0.7233646231145308,0.48361904735164635,NA,H,D,D,D,H,H,D,D,D,28038536,0.06000360130023908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3674,NA,64548,NA,NA,NA,NA,20982,NA,NA,NA,5643,NA,NA,NA,CRF_B10,AC-CRF-TV_95,NA,11,0.45454545454545453,4,46,1274,0.9709576138147566,5,55,NA,CRF_B10,CRF_B10
Florida,Upper Keys-Broward County,26.057167,-80.1056,3,13,NA,B8,clone_66,0.5923929390135583,0.3089636881866898,NA,H,D,H,D,D,H,H,H,D,45949359,0.03333936692535692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25297,NA,NA,NA,NA,39078,NA,6837,NA,NA,NA,NA,NA,NA,7383,NA,CRF_B8,AC-CRF-TV_93,NA,13,0.6923076923076923,4,46,1209,0.9586435070306039,5,55,NA,CRF_B8,CRF_B8
Florida,Upper Keys-Broward County,26.024933,-80.10415,3,14,NA,B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRF_B9,AC-CRF-TV_94,348.97851978255915,NA,NA,NA,NA,1367,0.9297732260424286,5,63,CRF_B9,NA,NA
Florida,NA,NA,NA,NA,NA,NA,CB024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.51473474211656,NA,NA,NA,NA,NA,NA,NA,NA,CRF_CB024,NA,NA
Florida,NA,NA,NA,NA,NA,NA,CM5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.97850946063303,NA,NA,NA,NA,NA,NA,NA,NA,CRF_CM5,NA,NA
Florida,NA,NA,NA,NA,NA,NA,CM6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.95638494719265,NA,NA,NA,NA,NA,NA,NA,NA,CRF_CM6,NA,NA
Florida,Middle Keys-Jeff's Patch,24.698,-80.9581,NA,NA,NA,FM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRF_FM1,AC-FWC-MR_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Long Key,24.75845,-80.765817,NA,NA,NA,FM19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRF_FM19,AC-FWC-MR_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Jeff's Patch,24.696,-80.9582,NA,NA,NA,FM2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRF_FM2,AC-FWC-MR_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Jeff's Patch,24.697,-80.9583,NA,NA,NA,FM3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRF_FM3,AC-FWC-MR_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-East Turtle Shoal,24.702167,-80.938667,NA,NA,NA,FM6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRF_FM6,AC-FWC-MR_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-East Washerwoman Shoal,24.664267,-81.07655,NA,NA,NA,FM9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRF_FM9,AC-FWC-MR_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Delta Shoal,24.63965,-81.0662,NA,NA,NA,FWC_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_12,AC-FWC-MR_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Jeff's Patch,24.697567,-80.958517,NA,NA,NA,FWC_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_14,AC-FWC-MR_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Long Key,24.77885,-80.7349,NA,NA,NA,FWC_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_18,AC-FWC-LK_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Long Key,24.7763,-80.736517,NA,NA,NA,FWC_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_19,AC-FWC-LK_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Long Key,24.77885,-80.7349,NA,NA,NA,FWC_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_20,AC-FWC-MR_20,NA,192,0.5416666666666666,3,104,NA,NA,NA,NA,NA,FWC_20,NA
Florida,Middle Keys-Long Key,24.75825,-80.765983,NA,NA,NA,FWC_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_21,AC-FWC-MR_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-Delta Shoal,24.632383,-81.088967,NA,NA,NA,FWC_25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_25,AC-FWC-LK_25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-East Washerwoman Shoal,24.664267,-81.07655,NA,NA,NA,FWC_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_4,AC-FWC-MR_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Middle Keys-East Turtle Shoal,24.702167,-80.938667,NA,NA,NA,FWC_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FWC_5,AC-FWC-MR_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
