sample_id,fragment_id,time,exposure,tank,genotype,final_disease_state,clone_group,resistance,reads,susceptability
T0_D_HOMO_1,D_HOMO_1,T0,D,HOMO,1,D,NA,NA,NA,NA
T0_D_HOMO_2,D_HOMO_2,T0,D,HOMO,2,D,NA,NA,NA,NA
T0_D_HOMO_3,D_HOMO_3,T0,D,HOMO,3,D,NA,NA,NA,NA
T0_D_HOMO_4,D_HOMO_4,T0,D,HOMO,4,D,NA,NA,NA,NA
T0_D_HOMO_5,D_HOMO_5,T0,D,HOMO,5,D,NA,NA,NA,NA
T0_H_HOMO_1,H_HOMO_1,T0,H,HOMO,1,H,NA,NA,NA,NA
T0_H_HOMO_2,H_HOMO_2,T0,H,HOMO,2,H,NA,NA,NA,NA
T0_H_HOMO_3,H_HOMO_3,T0,H,HOMO,3,H,NA,NA,NA,NA
T0_H_HOMO_4,H_HOMO_4,T0,H,HOMO,4,H,NA,NA,NA,NA
T0_H_HOMO_5,H_HOMO_5,T0,H,HOMO,5,H,NA,NA,NA,NA
T0_REP1_R_K1,F_Field_K1,T0,F,Field,K1,NA,clone_3,0.6367881518843654,12089,R
T0_REP1_R_M5,F_Field_M5,T0,F,Field,M5,NA,clone_10,0.6367881518843654,28089,R
T0_REP1_R_U37,F_Field_U37,T0,F,Field,U37,NA,clone_26,0.6367881518843654,7154,R
T0_REP1_R_U41,F_Field_U41,T0,F,Field,U41,NA,clone_26,0.5267368063897103,29941,R
T0_REP1_R_U67,F_Field_U67,T0,F,Field,U67,NA,clone_40,0.5336919135626396,15541,R
T0_REP1_R_U71,F_Field_U71,T0,F,Field,U71,NA,clone_42,0.6367881518843654,20498,R
T0_REP1_R_U72,F_Field_U72,T0,F,Field,U72,NA,clone_43,0.5850746003769431,8840,R
T0_REP1_S_M1,F_Field_M1,T0,F,Field,M1,NA,clone_7,0.03042154565820803,7523,S
T0_REP1_S_M10,F_Field_M10,T0,F,Field,M10,NA,clone_6,0.3280738800080762,6248,S
T0_REP1_S_M6,F_Field_M6,T0,F,Field,M6,NA,clone_11,0.4126090663756678,20694,S
T0_REP1_S_U20,F_Field_U20,T0,F,Field,U20,NA,clone_19,0.48361904735164635,31245,R
T0_REP1_S_U31,F_Field_U31,T0,F,Field,U31,NA,clone_20,0.22580210845954632,6886,S
T0_REP1_S_U42,F_Field_U42,T0,F,Field,U42,NA,clone_27,0.22580210845954632,12639,S
T0_REP1_S_U46,F_Field_U46,T0,F,Field,U46,NA,clone_30,0.21157268509462895,18025,S
T0_REP1_S_U47,F_Field_U47,T0,F,Field,U47,NA,clone_103,0.34801091411193924,14934,S
T0_REP1_S_U58,F_Field_U58,T0,F,Field,U58,NA,clone_34,0.10674234253642308,16124,S
T0_REP1_S_U59,F_Field_U59,T0,F,Field,U59,NA,clone_35,0.2115726850946289,5442,S
T0_REP1_S_U65,F_Field_U65,T0,F,Field,U65,NA,clone_39,0.3480109141119393,3822,S
T3_D_D1_B8,D_D1_B8,T3,D,D1,B8,D,clone_66,0.3089636881866898,25297,S
T3_D_D1_K2,D_D1_K2,T3,D,D1,K2,D,clone_3,0.4356333398942291,34376,S
T3_D_D1_M2,D_D1_M2,T3,D,D1,M2,D,clone_9,0.3280738800080762,8809,S
T3_D_D1_M3,D_D1_M3,T3,D,D1,M3,D,clone_9,0.3903047418355598,34717,S
T3_D_D1_M5,D_D1_M5,T3,D,D1,M5,H,clone_10,0.6367881518843654,3983,R
T3_D_D1_U17,D_D1_U17,T3,D,D1,U17,D,clone_17,0.4126090663756678,39289,S
T3_D_D1_U19,D_D1_U19,T3,D,D1,U19,D,clone_18,0.4356333398942291,60713,S
T3_D_D1_U33,D_D1_U33,T3,D,D1,U33,D,clone_21,0.2732397851191928,42868,S
T3_D_D1_U39,D_D1_U39,T3,D,D1,U39,D,clone_24,0.3280738800080762,45207,S
T3_D_D1_U4,D_D1_U4,T3,D,D1,U4,D,clone_32,0.4593249166781684,31598,R
T3_D_D1_U41,D_D1_U41,T3,D,D1,U41,H,clone_26,0.5267368063897103,20609,R
T3_D_D1_U43,D_D1_U43,T3,D,D1,U43,H,clone_28,0.3386852215489822,75678,S
T3_D_D1_U44,D_D1_U44,T3,D,D1,U44,H,clone_29,0.2732397851191928,42056,S
T3_D_D1_U46,D_D1_U46,T3,D,D1,U46,D,clone_30,0.21157268509462895,19545,S
T3_D_D1_U5,D_D1_U5,T3,D,D1,U5,D,clone_36,0.4593249166781684,5423,R
T3_D_D1_U55,D_D1_U55,T3,D,D1,U55,D,clone_33,0.508438248490982,26189,R
T3_D_D1_U65,D_D1_U65,T3,D,D1,U65,D,clone_39,0.3480109141119393,36327,S
T3_D_D1_U72,D_D1_U72,T3,D,D1,U72,H,clone_43,0.5850746003769431,45330,R
T3_D_D1_U93,D_D1_U93,T3,D,D1,U93,D,clone_46,0.3089636881866898,9668,S
T3_D_D1_U98,D_D1_U98,T3,D,D1,U98,D,clone_47,0.2906859573324436,32941,S
T3_D_D2_B10,D_D2_B10,T3,D,D2,B10,H,clone_43,0.48361904735164635,3674,R
T3_D_D2_M1,D_D2_M1,T3,D,D2,M1,D,clone_7,0.03042154565820803,32971,S
T3_D_D2_M10,D_D2_M10,T3,D,D2,M10,D,clone_6,0.3280738800080762,36473,S
T3_D_D2_M7,D_D2_M7,T3,D,D2,M7,D,clone_98,0.3903047418355598,3879,S
T3_D_D2_U11,D_D2_U11,T3,D,D2,U11,D,clone_7,0.5336919135626396,8494,R
T3_D_D2_U14,D_D2_U14,T3,D,D2,U14,D,clone_3,0.3280738800080762,23074,S
T3_D_D2_U15,D_D2_U15,T3,D,D2,U15,D,clone_16,0.4593249166781684,28469,R
T3_D_D2_U20,D_D2_U20,T3,D,D2,U20,H,clone_19,0.48361904735164635,24318,R
T3_D_D2_U31,D_D2_U31,T3,D,D2,U31,D,clone_20,0.22580210845954632,21211,S
T3_D_D2_U37,D_D2_U37,T3,D,D2,U37,H,clone_26,0.6367881518843654,33299,R
T3_D_D2_U58,D_D2_U58,T3,D,D2,U58,D,clone_34,0.10674234253642308,39268,S
T3_D_D2_U62,D_D2_U62,T3,D,D2,U62,D,clone_7,0.3687617084886779,20360,S
T3_D_D2_U69,D_D2_U69,T3,D,D2,U69,D,clone_41,0.48361904735164635,31478,R
T3_D_D2_U71,D_D2_U71,T3,D,D2,U71,H,clone_42,0.6367881518843654,1873,R
T3_D_D2_U75,D_D2_U75,T3,D,D2,U75,D,clone_44,0.4593249166781684,33562,R
T3_D_D2_U91,D_D2_U91,T3,D,D2,U91,D,clone_45,0.3687617084886779,36031,S
T3_D_D4_K1,D_D4_K1,T3,D,D4,K1,H,clone_3,0.6367881518843654,37843,R
T3_D_D4_KW15,D_D4_KW15,T3,D,D4,KW15,D,clone_5,0.610958320744247,33341,R
T3_D_D4_U100,D_D4_U100,T3,D,D4,U100,D,clone_13,0.3903047418355598,30257,S
T3_D_D4_U3,D_D4_U3,T3,D,D4,U3,D,clone_25,0.508438248490982,43884,R
T3_D_D4_U35,D_D4_U35,T3,D,D4,U35,D,clone_22,0.4356333398942291,52197,S
T3_D_D4_U59,D_D4_U59,T3,D,D4,U59,D,clone_35,0.2115726850946289,21842,S
T3_D_D4_U63,D_D4_U63,T3,D,D4,U63,D,clone_38,0.48361904735164635,12312,R
T3_D_D4_U67,D_D4_U67,T3,D,D4,U67,H,clone_40,0.5336919135626396,4392,R
T3_D_D4_U9,D_D4_U9,T3,D,D4,U9,D,clone_48,0.5850746003769431,47487,R
T3_D_D4_U91,D_D4_U91,T3,D,D4,U91,D,clone_45,0.3687617084886779,56484,S
T3_H_H1_B10,H_H1_B10,T3,H,H1,B10,H,clone_43,0.48361904735164635,64548,R
T3_H_H1_M7,H_H1_M7,T3,H,H1,M7,H,clone_98,0.3903047418355598,40540,S
T3_H_H1_U100,H_H1_U100,T3,H,H1,U100,H,clone_13,0.3903047418355598,35287,S
T3_H_H1_U15,H_H1_U15,T3,H,H1,U15,H,clone_16,0.4593249166781684,30042,R
T3_H_H1_U20,H_H1_U20,T3,H,H1,U20,H,clone_19,0.48361904735164635,7328,R
T3_H_H1_U3,H_H1_U3,T3,H,H1,U3,H,clone_25,0.508438248490982,10935,R
T3_H_H1_U31,H_H1_U31,T3,H,H1,U31,H,clone_20,0.22580210845954632,49994,S
T3_H_H1_U35,H_H1_U35,T3,H,H1,U35,H,clone_22,0.4356333398942291,17520,S
T3_H_H1_U4,H_H1_U4,T3,H,H1,U4,H,clone_32,0.4593249166781684,34531,R
T3_H_H1_U41,H_H1_U41,T3,H,H1,U41,H,clone_26,0.5267368063897103,37888,R
T3_H_H1_U44,H_H1_U44,T3,H,H1,U44,H,clone_29,0.2732397851191928,5566,S
T3_H_H1_U46,H_H1_U46,T3,H,H1,U46,H,clone_30,0.21157268509462895,71621,S
T3_H_H1_U55,H_H1_U55,T3,H,H1,U55,H,clone_33,0.508438248490982,55508,R
T3_H_H1_U58,H_H1_U58,T3,H,H1,U58,H,clone_34,0.10674234253642308,22697,S
T3_H_H1_U63,H_H1_U63,T3,H,H1,U63,H,clone_38,0.48361904735164635,66232,R
T3_H_H1_U69,H_H1_U69,T3,H,H1,U69,H,clone_41,0.48361904735164635,33838,R
T3_H_H1_U9,H_H1_U9,T3,H,H1,U9,H,clone_48,0.5850746003769431,32447,R
T3_H_H1_U98,H_H1_U98,T3,H,H1,U98,H,clone_47,0.2906859573324436,27465,S
T3_H_H4_B8,H_H4_B8,T3,H,H4,B8,H,clone_66,0.3089636881866898,39078,S
T3_H_H4_KW15,H_H4_KW15,T3,H,H4,KW15,H,clone_5,0.610958320744247,5440,R
T3_H_H4_M10,H_H4_M10,T3,H,H4,M10,H,clone_6,0.3280738800080762,16794,S
T3_H_H4_U11,H_H4_U11,T3,H,H4,U11,H,clone_7,0.5336919135626396,38225,R
