asv_id,sample_id,log2_cpm,exposure
ASV_1,T0_D_HOMO_1,18.047541635552943,D
ASV_1,T0_D_HOMO_2,16.491948626666538,D
ASV_1,T0_D_HOMO_3,17.324260945956286,D
ASV_1,T0_D_HOMO_4,15.023041547748871,D
ASV_1,T0_D_HOMO_5,15.628778396655116,D
ASV_1,T0_H_HOMO_1,18.88370260412709,H
ASV_1,T0_H_HOMO_2,18.955911893015035,H
ASV_1,T0_H_HOMO_3,18.904503744927226,H
ASV_1,T0_H_HOMO_4,18.646422284191488,H
ASV_1,T0_H_HOMO_5,18.46204857459169,H
ASV_2,T0_D_HOMO_1,14.228083990873643,D
ASV_2,T0_D_HOMO_2,12.533213281000792,D
ASV_2,T0_D_HOMO_3,12.120353636424792,D
ASV_2,T0_D_HOMO_4,10.881342316070032,D
ASV_2,T0_D_HOMO_5,12.24330792523403,D
ASV_2,T0_H_HOMO_1,12.412128150957274,H
ASV_2,T0_H_HOMO_2,11.699575331208063,H
ASV_2,T0_H_HOMO_3,10.579572047029284,H
ASV_2,T0_H_HOMO_4,11.602679656202637,H
ASV_2,T0_H_HOMO_5,11.788463584582201,H
ASV_3,T0_D_HOMO_1,16.30670795109834,D
ASV_3,T0_D_HOMO_2,14.946569548473294,D
ASV_3,T0_D_HOMO_3,14.537530887454238,D
ASV_3,T0_D_HOMO_4,14.287193312636244,D
ASV_3,T0_D_HOMO_5,14.478121333406179,D
ASV_3,T0_H_HOMO_1,5.2741049642317686,H
ASV_3,T0_H_HOMO_2,5.274104964231766,H
ASV_3,T0_H_HOMO_3,5.2741049642317686,H
ASV_3,T0_H_HOMO_4,5.2741049642317686,H
ASV_3,T0_H_HOMO_5,10.490016104962399,H
ASV_4,T0_D_HOMO_1,10.526558385126734,D
ASV_4,T0_D_HOMO_2,9.436731874009933,D
ASV_4,T0_D_HOMO_3,11.439939831125324,D
ASV_4,T0_D_HOMO_4,11.13943566171446,D
ASV_4,T0_D_HOMO_5,5.2741049642317686,D
ASV_4,T0_H_HOMO_1,5.2741049642317686,H
ASV_4,T0_H_HOMO_2,5.274104964231766,H
ASV_4,T0_H_HOMO_3,5.2741049642317686,H
ASV_4,T0_H_HOMO_4,5.2741049642317686,H
ASV_4,T0_H_HOMO_5,5.2741049642317686,H
ASV_5,T0_D_HOMO_1,5.274104964231766,D
ASV_5,T0_D_HOMO_2,5.2741049642317686,D
ASV_5,T0_D_HOMO_3,7.576605417311576,D
ASV_5,T0_D_HOMO_4,5.2741049642317686,D
ASV_5,T0_D_HOMO_5,5.2741049642317686,D
ASV_5,T0_H_HOMO_1,5.2741049642317686,H
ASV_5,T0_H_HOMO_2,5.274104964231766,H
ASV_5,T0_H_HOMO_3,5.2741049642317686,H
ASV_5,T0_H_HOMO_4,5.2741049642317686,H
ASV_5,T0_H_HOMO_5,5.2741049642317686,H
ASV_7,T0_D_HOMO_1,17.142565191992436,D
ASV_7,T0_D_HOMO_2,12.089175024043396,D
ASV_7,T0_D_HOMO_3,11.659458775726645,D
ASV_7,T0_D_HOMO_4,11.358288364790461,D
ASV_7,T0_D_HOMO_5,14.031551604615691,D
ASV_7,T0_H_HOMO_1,5.2741049642317686,H
ASV_7,T0_H_HOMO_2,5.274104964231766,H
ASV_7,T0_H_HOMO_3,5.2741049642317686,H
ASV_7,T0_H_HOMO_4,7.123013659021089,H
ASV_7,T0_H_HOMO_5,5.2741049642317686,H
ASV_9,T0_D_HOMO_1,5.274104964231766,D
ASV_9,T0_D_HOMO_2,9.436731874009933,D
ASV_9,T0_D_HOMO_3,7.576605417311576,D
ASV_9,T0_D_HOMO_4,8.673190145594603,D
ASV_9,T0_D_HOMO_5,5.2741049642317686,D
ASV_9,T0_H_HOMO_1,5.2741049642317686,H
ASV_9,T0_H_HOMO_2,5.274104964231766,H
ASV_9,T0_H_HOMO_3,5.2741049642317686,H
ASV_9,T0_H_HOMO_4,5.2741049642317686,H
ASV_9,T0_H_HOMO_5,5.2741049642317686,H
ASV_11,T0_D_HOMO_1,5.274104964231766,D
ASV_11,T0_D_HOMO_2,7.405640071026286,D
ASV_11,T0_D_HOMO_3,8.422427458788517,D
ASV_11,T0_D_HOMO_4,5.2741049642317686,D
