Family,Phylum,Class,Order
Saprospiraceae,Bacteroidota,Saprospiria,Saprospirales
Cyclobacteriaceae,Bacteroidota,Cytophagia,Cytophagales
Crocinitomicaceae,Bacteroidota,Flavobacteriia,Flavobacteriales
Cryomorphaceae,Bacteroidota,Flavobacteriia,Flavobacteriales
Flavobacteriaceae,Bacteroidota,Flavobacteriia,Flavobacteriales
Bacteriovoracaceae,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales
Arcobacteraceae,Campylobacterota,Epsilonproteobacteria,Campylobacterales
Simkaniaceae,Chlamydiota,Chlamydiia,Parachlamydiales
Nannocystaceae,Myxococcota,NA,Nannocystales
Pirellulaceae,Planctomycetota,Planctomycetia,Pirellulales
Kiloniellaceae,Pseudomonadota,Alphaproteobacteria,Rhodospirillales
Stappiaceae,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales
Rickettsiaceae,Pseudomonadota,Alphaproteobacteria,Rickettsiales
Alteromonadaceae,Pseudomonadota,Gammaproteobacteria,Alteromonadales
Colwelliaceae,Pseudomonadota,Gammaproteobacteria,Alteromonadales
Pseudoalteromonadaceae,Pseudomonadota,Gammaproteobacteria,Alteromonadales
Arenicellaceae,Pseudomonadota,Gammaproteobacteria,Arenicellales
Methylophilaceae,Pseudomonadota,Betaproteobacteria,Nitrosomonadales
Nitrosomonadaceae,Pseudomonadota,Betaproteobacteria,Nitrosomonadales
Cellvibrionaceae,Pseudomonadota,Gammaproteobacteria,Cellvibrionales
Spongiibacteraceae,Pseudomonadota,Gammaproteobacteria,Cellvibrionales
Chromatiaceae,Pseudomonadota,Gammaproteobacteria,Chromatiales
Francisellaceae,Pseudomonadota,Gammaproteobacteria,Thiotrichales
Piscirickettsiaceae,Pseudomonadota,Gammaproteobacteria,Thiotrichales
Woeseiaceae,Pseudomonadota,Gammaproteobacteria,Woeseiales
Vibrionaceae,Pseudomonadota,Gammaproteobacteria,Vibrionales
Verrucomicrobiaceae,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales
