Genus,Phylum,Class,Order,Family
Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae
Algicola,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae
Aureispira,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae
Bermanella,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Coraliomargarita,Verrucomicrobiota,Opitutia,Puniceicoccales,Coraliomargaritaceae
Coxiella,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae
Dokdonia,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Ekhidna,Bacteroidota,Cytophagia,Cytophagales,Reichenbachiellaceae
Flexithrix,Bacteroidota,Cytophagia,Cytophagales,Flammeovirgaceae
Fluviicola,Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae
Francisella,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae
Fusibacter,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XII. Incertae Sedis
Gilvibacter,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Halarcobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae
Halobacteriovorax,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Halobacteriovoraceae
Haloferula,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae
Kiloniella,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Kiloniellaceae
Kordia,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Lewinella,Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae
Litoribacillus,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Malaciobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae
Marinicella,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
Methylophaga,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae
Microscilla,Bacteroidota,Cytophagia,Cytophagales,Microscillaceae
Nitriliruptor,Actinomycetota,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae
Nonlabens,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Oceanospirillum,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Oleispira,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Plesiocystis,Myxococcota,NA,Nannocystales,Nannocystaceae
Portibacter,Bacteroidota,Saprospiria,Saprospirales,Haliscomenobacteraceae
Pseudohongiella,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae
Pseudoteredinibacter,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
Sedimenticola,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae
Sulfurovum,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae
Tenacibaculum,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Thalassolituus,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Thalassotalea,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae
Vicingus,Bacteroidota,Flavobacteriia,Flavobacteriales,Vicingaceae
Woeseia,Pseudomonadota,Gammaproteobacteria,Woeseiales,Woeseiaceae
