Order,Phylum,Class
Chitinophagales,Bacteroidota,Chitinophagia
Cytophagales,Bacteroidota,Cytophagia
Flavobacteriales,Bacteroidota,Flavobacteriia
Desulfobacterales,Thermodesulfobacteriota,Desulfobacteria
Rhodobacterales,Pseudomonadota,Alphaproteobacteria
Rhodospirillales,Pseudomonadota,Alphaproteobacteria
Rickettsiales,Pseudomonadota,Alphaproteobacteria
Cellvibrionales,Pseudomonadota,Gammaproteobacteria
Oceanospirillales,Pseudomonadota,Gammaproteobacteria
Puniceicoccales,Verrucomicrobiota,Opitutia
Verrucomicrobiales,Verrucomicrobiota,Verrucomicrobiia
