Genus,Phylum,Class,Order,Family
Aliiroseovarius,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Aquamicrobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae
Aureispira,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae
Bacterioplanoides,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Caedimonas,Pseudomonadota,Alphaproteobacteria,Holosporales,Caedimonadaceae
Chachezhania,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Citreimonas,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Cohaesibacter,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Cohaesibacteraceae
Coraliomargarita,Verrucomicrobiota,Opitutae,Puniceicoccales,Coraliomargaritaceae
Cribrihabitans,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Dokdonia,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Eionea,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
Ekhidna,Bacteroidota,Cytophagia,Cytophagales,Reichenbachiellaceae
Enhygromyxa,Myxococcota,Myxococcia,Myxococcales,NA
Flavilitoribacter,Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae
Flexithrix,Bacteroidota,Cytophagia,Cytophagales,Flammeovirgaceae
Fluviicola,Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae
Francisella,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae
Fusibacter,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XII. Incertae Sedis
Gilvibacter,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Halarcobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae
Halobacteriovorax,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Halobacteriovoraceae
Haloferula,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae
Kiloniella,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Kiloniellaceae
Kordia,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Lewinella,Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae
Malaciobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae
Marimonas,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Marinicella,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
Maritimibacter,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Marivivens,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Microbulbifer,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae
Microscilla,Bacteroidota,Cytophagia,Cytophagales,Microscillaceae
Nannocystis,Myxococcota,NA,Nannocystales,Nannocystaceae
Nonlabens,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Oceanospirillum,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Oleiphilus,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae
Oricola,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae
Palleronia,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Phaeobacter,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Phycobacter,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Portibacter,Bacteroidota,Saprospiria,Saprospirales,Haliscomenobacteraceae
Porticoccus,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
Pseudohongiella,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae
Pseudomarivita,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Pseudooceanicola,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Pseudoteredinibacter,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
Qipengyuania,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Rickettsia,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae
Roseibium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae
Roseivirga,Bacteroidota,Cytophagia,Cytophagales,Roseivirgaceae
Ruegeria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Sedimenticola,Pseudomonadota,Gammaproteobacteria,NA,NA
Spartinivicinus,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Zooshikellaceae
Sulfurovum,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae
Tenacibaculum,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Thalassotalea,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae
Thalassovita,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Thioprofundum,Pseudomonadota,Gammaproteobacteria,Chromatiales,Thioprofundaceae
Tritonibacter,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Vibrio,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae
Vicingus,Bacteroidota,Flavobacteriia,Flavobacteriales,Vicingaceae
Woeseia,Pseudomonadota,Gammaproteobacteria,Woeseiales,Woeseiaceae
Yoonia,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
