sample_id,time,exposure,tank,genotype,final_disease_state,disease_state,asv_names,value,fragment_id,D,H,T3,T7,Class,Order,Family,Genus,Species
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_1,19.455396498279427,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rickettsiales,Fokiniaceae,MD3-55,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_2,15.636684448882301,homogenate,TRUE,TRUE,TRUE,TRUE,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_3,17.714695972353304,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_4,11.94476137724725,homogenate,TRUE,FALSE,TRUE,TRUE,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_5,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_6,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_7,18.55046965848516,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_8,11.22246334525901,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,mediterranea
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_9,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Coraliomargarita,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_10,8.088282050874183,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Oleiphilus,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_11,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_12,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_13,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_14,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rickettsiales,Fokiniaceae,MD3-55,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_16,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Thalassolituus,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_18,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_20,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_22,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_23,12.56496662445521,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibacterium,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_25,8.088282050874183,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,shioyasakiensis
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_26,12.423856167633975,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,lacuscaerulensis
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_27,13.998203120482291,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_28,11.892156351181258,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_29,11.383573067839707,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_33,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_35,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_36,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_38,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_40,9.708681873614623,homogenate,TRUE,TRUE,TRUE,TRUE,Campylobacteria,Campylobacterales,Helicobacteraceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_41,11.892156351181258,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Aestuariibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_42,12.182363372253207,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_43,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_44,11.94476137724725,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_45,11.59582448436485,homogenate,TRUE,TRUE,TRUE,TRUE,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_46,8.691072016976916,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_48,11.457847708387584,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_49,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Francisellales,Francisellaceae,[Caedibacter] taeniospiralis group,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_51,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Arenicellales,Arenicellaceae,HTCC5015,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_52,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_53,10.128088454929154,homogenate,TRUE,TRUE,TRUE,TRUE,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_55,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Oleiphilus,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_59,14.908825160833302,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Thalassolituus,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_60,8.088282050874183,homogenate,TRUE,TRUE,TRUE,TRUE,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_64,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_66,11.22246334525901,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,fortis
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_67,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Oleiphilus,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_69,14.941551411087502,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_70,11.892156351181258,homogenate,TRUE,FALSE,TRUE,TRUE,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_71,13.514905660936218,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Francisellales,Francisellaceae,[Caedibacter] taeniospiralis group,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_72,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_73,12.662421449061231,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Algicola,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_76,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,coralliilyticus
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_77,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_80,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_82,8.088282050874183,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_83,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_84,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_85,9.114941313136306,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_86,12.49613596604654,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Thalassolituus,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_88,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_90,10.299466881677219,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_91,9.933572533194607,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nautella,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_94,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Oligoflexia,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_96,9.708681873614623,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_98,9.933572533194607,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cognatishimia,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_99,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Pseudoteredinibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_100,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Kordia,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_101,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_102,8.088282050874183,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Aestuariibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_103,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cognatishimia,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_104,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_108,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Verruc-01,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_109,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_110,8.691072016976916,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,NA
