sample_id,genotype,clone_group,resistance,time,tank,reads,final_disease_state,exposure,susceptability
T3_D_D2_B10,B10,clone_43,0.48361904735164635,T3,D2,3674,H,D,R
T3_H_H1_B10,B10,clone_43,0.48361904735164635,T3,H1,64548,H,H,R
T7_D_D2_B10,B10,clone_43,0.48361904735164635,T7,D2,20982,H,D,R
T7_H_H1_B10,B10,clone_43,0.48361904735164635,T7,H1,5643,H,H,R
T3_D_D1_B8,B8,clone_66,0.3089636881866898,T3,D1,25297,D,D,S
T3_H_H4_B8,B8,clone_66,0.3089636881866898,T3,H4,39078,H,H,S
T7_D_D1_B8,B8,clone_66,0.3089636881866898,T7,D1,6837,D,D,S
T7_H_H4_B8,B8,clone_66,0.3089636881866898,T7,H4,7383,H,H,S
T0_F_Field_K1,K1,clone_3,0.6367881518843654,T0,Field,12089,NA,F,R
T3_D_D4_K1,K1,clone_3,0.6367881518843654,T3,D4,37843,H,D,R
T3_H_H5_K1,K1,clone_3,0.6367881518843654,T3,H5,36195,H,H,R
T7_D_D2_K1,K1,clone_3,0.6367881518843654,T7,D2,6201,H,D,R
T7_D_D4_K1,K1,clone_3,0.6367881518843654,T7,D4,10619,H,D,R
T7_H_H5_K1,K1,clone_3,0.6367881518843654,T7,H5,3775,H,H,R
T3_D_D1_K2,K2,clone_3,0.4356333398942291,T3,D1,34376,D,D,S
T3_H_H3_K2,K2,clone_3,0.4356333398942291,T3,H3,19862,D,H,S
T7_D_D1_K2,K2,clone_3,0.4356333398942291,T7,D1,7460,D,D,S
T7_H_H3_K2,K2,clone_3,0.4356333398942291,T7,H3,14175,D,H,S
T3_D_D4_KW15,KW15,clone_5,0.610958320744247,T3,D4,33341,D,D,R
T3_H_H4_KW15,KW15,clone_5,0.610958320744247,T3,H4,5440,H,H,R
T7_D_D4_KW15,KW15,clone_5,0.610958320744247,T7,D4,3861,D,D,R
T7_H_H4_KW15,KW15,clone_5,0.610958320744247,T7,H4,23827,H,H,R
T0_F_Field_M1,M1,clone_7,0.03042154565820803,T0,Field,7523,NA,F,S
T3_D_D2_M1,M1,clone_7,0.03042154565820803,T3,D2,32971,D,D,S
T3_H_H5_M1,M1,clone_7,0.03042154565820803,T3,H5,15436,H,H,S
T7_D_D1_M1,M1,clone_7,0.03042154565820803,T7,D1,12746,D,D,S
T7_D_D2_M1,M1,clone_7,0.03042154565820803,T7,D2,18131,D,D,S
T7_D_D4_M1,M1,clone_7,0.03042154565820803,T7,D4,15084,D,D,S
