asv_id,Domain,Phylum,Class,Order,Family,Genus,Species,Domain_confidence,Phylum_confidence,Class_confidence,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
ASV_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_3,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea coralli,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,97.58333333333333,89.58333333333333,27.249999999999993
ASV_4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,Haloferula phyci,100,100,100,100,100,100,78.33333333333333
ASV_5,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,Seonamhaeicola aphaedonensis,100,100,100,100,100,100,100
ASV_6,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia lutea,100,100,100,100,100,100,100
ASV_7,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea,100,100,100,100,81.16666666666667,77.33333333333333,74.33333333333331
ASV_8,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas abrolhosensis,100,100,100,100,100,100,41.15162350579228
ASV_9,Bacteria,Verrucomicrobiota,Opitutae,Puniceicoccales,Coraliomargaritaceae,Coraliomargarita,Coraliomargarita akajimensis,100,100,100,100,100,100,75.66666666666667
ASV_10,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Eionea,Eionea nigra,100,100,100,51.683333333333344,43.183333333333344,37.78333333333333,37.78333333333333
ASV_11,Bacteria,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,100,100,100,100,100,100,100
ASV_12,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter pacificus,100,100,100,100,100,53.91666666666662,23.36666666666666
ASV_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_14,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea,100,100,100,100,83.73333333333332,60.18333333333335,58.68333333333335
ASV_15,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bacterioplanoides,Bacterioplanoides pacificum,100,100,100,98,96.5,76.00000000000001,76.00000000000001
ASV_16,Bacteria,Pseudomonadota,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,100,100,100,100,100,100,70
ASV_17,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter rubeus,100,100,100,100,96.74302393512922,59.83972869236029,59.76830012093174
ASV_18,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudomaricurvus,Pseudomaricurvus alkylphenolicus,100,100,100,100,100,100,100
ASV_19,Bacteria,Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,Kordiimonas laminariae,100,100,100,100,100,100,100
ASV_20,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas confluentis,100,100,100,100,100,85.46296296296299,61.287037037037024
ASV_21,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureitalea,Aureitalea marina,100,100,100,100,100,26.33333333333333,26.33333333333333
ASV_22,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseibacterium,Roseibacterium elongatum,100,100,100,100,90.83809523809525,76.28809523809525,76.28809523809525
ASV_23,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas gelatinilytica,100,100,100,100,100,100,30.199999999999992
ASV_24,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria profundi,100,100,100,100,97.91666666666667,97.91666666666667,43.36666666666665
ASV_25,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio aquimaris,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,51.342857142857135
ASV_26,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea coralli,100,100,100,100,99.25,93.9166666666667,19.166666666666668
ASV_27,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,Seonamhaeicola algicola,100,100,100,100,100,75.19999999999999,47.03333333333333
ASV_28,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium limneticum,100,100,100,100,100,100,95.8
ASV_29,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleispira,Oleispira antarctica,100,100,100,93.5,93.5,34.4,28.199999999999996
ASV_30,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter porticola,100,100,100,100,83.05,72.53333333333332,70.03333333333332
ASV_31,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea,100,100,100,100,81.5,81.16666666666667,81.16666666666667
ASV_32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_33,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas atlantica,100,100,100,100,100,100,57.58333333333335
